StudentName,TutorName,Subject,LoginDate,SessionDuration(min)
Student_8,Ms. Carter,Science,2025-09-01,65
Student_28,Mr. Lee,History,2025-09-01,53
Student_54,Mrs. Patel,Math,2025-09-01,62
Student_36,Mr. Nguyen,Computer Science,2025-09-01,34
Student_30,Mrs. Patel,Math,2025-09-01,78
Student_52,Mr. Lee,History,2025-09-02,42
Student_17,Ms. Carter,History,2025-09-02,89
Student_37,Mrs. Patel,English,2025-09-02,70
Student_5,Mr. Lee,Computer Science,2025-09-03,67
Student_41,Mr. Nguyen,Computer Science,2025-09-03,28
Student_45,Mrs. Patel,Math,2025-09-03,61
Student_40,Mr. Nguyen,English,2025-09-03,67
Student_49,Mrs. Patel,Computer Science,2025-09-03,42
Student_42,Ms. Johnson,Math,2025-09-04,62
Student_20,Ms. Johnson,Computer Science,2025-09-04,32
Student_30,Ms. Carter,Math,2025-09-04,71
Student_9,Mr. Nguyen,Science,2025-09-04,53
Student_59,Ms. Johnson,Science,2025-09-04,85
Student_29,Ms. Johnson,Math,2025-09-04,89
Student_21,Ms. Johnson,Science,2025-09-05,36
Student_38,Mr. Lee,Math,2025-09-05,27
Student_51,Mr. Nguyen,Computer Science,2025-09-05,69
Student_40,Ms. Johnson,Math,2025-09-05,88
Student_59,Mrs. Patel,Science,2025-09-05,27
Student_45,Mr. Lee,Science,2025-09-05,73
Student_13,Ms. Carter,History,2025-09-06,47
Student_14,Mrs. Patel,Math,2025-09-06,68
Student_9,Ms. Johnson,History,2025-09-06,26
Student_38,Ms. Johnson,Math,2025-09-06,74
Student_1,Mr. Nguyen,History,2025-09-07,75
Student_38,Mr. Nguyen,English,2025-09-07,49
Student_56,Ms. Carter,History,2025-09-07,87
Student_20,Mr. Nguyen,Math,2025-09-07,50
Student_50,Mr. Lee,English,2025-09-07,23
Student_49,Mrs. Patel,English,2025-09-08,57
Student_21,Mrs. Patel,English,2025-09-08,71
Student_44,Mr. Lee,History,2025-09-08,51
Student_16,Mrs. Patel,History,2025-09-09,58
Student_13,Ms. Johnson,History,2025-09-09,74
Student_14,Ms. Johnson,English,2025-09-09,64
Student_12,Mrs. Patel,Math,2025-09-09,73
